AverageTemperature,City,Country,Month,Year
24.601,2,Mexico,2,1863
24.913,2,Mexico,3,1863
24.837,2,Mexico,4,1863
25.546,2,Mexico,5,1863
27.429,2,Mexico,6,1863
27.347,2,Mexico,7,1863
26.991,2,Mexico,8,1863
26.7,2,Mexico,9,1863
26.248,2,Mexico,10,1863
25.919,2,Mexico,11,1863
24.583,2,Mexico,12,1863
23.869,2,Mexico,1,1864
23.841,2,Mexico,2,1864
23.221,2,Mexico,3,1864
24.228,2,Mexico,4,1864
25.601,2,Mexico,5,1864
27.548,2,Mexico,6,1864
27.371,2,Mexico,7,1864
26.907,2,Mexico,8,1864
27.014,2,Mexico,9,1864
26.016,2,Mexico,10,1864
25.853,2,Mexico,11,1864
25.586,2,Mexico,12,1864
25.133,2,Mexico,1,1865
23.92,2,Mexico,2,1865
23.568,2,Mexico,3,1865
24.216,2,Mexico,4,1865
25.914,2,Mexico,5,1865
27.506,2,Mexico,6,1865
27.489,2,Mexico,7,1865
27.446,2,Mexico,8,1865
26.484,2,Mexico,9,1865
26.285,2,Mexico,10,1865
26.494,2,Mexico,11,1865
26.003,2,Mexico,12,1865
25.619,2,Mexico,1,1866
23.616,2,Mexico,2,1866
24.46,2,Mexico,3,1866
24.32,2,Mexico,4,1866
26.004,2,Mexico,5,1866
26.76,2,Mexico,6,1866
27.343,2,Mexico,7,1866
27.239,2,Mexico,8,1866
27.155,2,Mexico,9,1866
26.012,2,Mexico,10,1866
26.003,2,Mexico,11,1866
26.013,2,Mexico,12,1866
25.729,2,Mexico,1,1867
24.758,2,Mexico,2,1867
25.426,2,Mexico,3,1867
24.997,2,Mexico,4,1867
26.327,2,Mexico,5,1867
27.67,2,Mexico,6,1867
27.488,2,Mexico,7,1867
27.487,2,Mexico,8,1867
27.369,2,Mexico,9,1867
26.86,2,Mexico,10,1867
26.473,2,Mexico,11,1867
27.168,2,Mexico,12,1867
25.258,2,Mexico,1,1868
23.533,2,Mexico,2,1868
24.345,2,Mexico,3,1868
24.574,2,Mexico,4,1868
25.696,2,Mexico,5,1868
27.496,2,Mexico,6,1868
27.006,2,Mexico,7,1868
27.199,2,Mexico,8,1868
26.753,2,Mexico,9,1868
26.774,2,Mexico,10,1868
25.204,2,Mexico,11,1868
24.946,2,Mexico,12,1868
25.231,2,Mexico,1,1869
25.661,2,Mexico,2,1869
24.896,2,Mexico,3,1869
25.324,2,Mexico,4,1869
26.402,2,Mexico,5,1869
27.234,2,Mexico,6,1869
27.641,2,Mexico,7,1869
27.045,2,Mexico,8,1869
27.31,2,Mexico,9,1869
26.432,2,Mexico,10,1869
27.499,2,Mexico,11,1869
24.39,2,Mexico,12,1869
24.954,2,Mexico,1,1870
23.98,2,Mexico,2,1870
24.774,2,Mexico,3,1870
24.448,2,Mexico,4,1870
26.399,2,Mexico,5,1870
27.705,2,Mexico,6,1870
27.498,2,Mexico,7,1870
27.148,2,Mexico,8,1870
27.875,2,Mexico,9,1870
26.597,2,Mexico,10,1870
26.006,2,Mexico,11,1870
23.566,2,Mexico,12,1870
24.055,2,Mexico,1,1871
24.308,2,Mexico,2,1871
24.009,2,Mexico,3,1871
24.87,2,Mexico,4,1871
25.671,2,Mexico,5,1871
26.832,2,Mexico,6,1871
27.317,2,Mexico,7,1871
27.963,2,Mexico,8,1871
27.433,2,Mexico,9,1871
26.183,2,Mexico,10,1871
26.599,2,Mexico,11,1871
25.545,2,Mexico,12,1871
23.619,2,Mexico,1,1872
24.287,2,Mexico,2,1872
24.48,2,Mexico,3,1872
24.939,2,Mexico,4,1872
26.904,2,Mexico,5,1872
27.404,2,Mexico,6,1872
27.817,2,Mexico,7,1872
27.21,2,Mexico,8,1872
27.546,2,Mexico,9,1872
26.719,2,Mexico,10,1872
25.159,2,Mexico,11,1872
24.712,2,Mexico,12,1872
23.573,2,Mexico,1,1873
25.98,2,Mexico,2,1873
24.488,2,Mexico,3,1873
23.823,2,Mexico,4,1873
26.709,2,Mexico,5,1873
26.957,2,Mexico,6,1873
27.177,2,Mexico,7,1873
26.953,2,Mexico,8,1873
26.39,2,Mexico,9,1873
26.57,2,Mexico,10,1873
25.156,2,Mexico,11,1873
26.533,2,Mexico,12,1873
24.822,2,Mexico,1,1874
25.483,2,Mexico,2,1874
24.867,2,Mexico,3,1874
23.531,2,Mexico,4,1874
25.333,2,Mexico,5,1874
26.52,2,Mexico,6,1874
26.698,2,Mexico,7,1874
27.742,2,Mexico,8,1874
26.562,2,Mexico,9,1874
26.243,2,Mexico,10,1874
26.679,2,Mexico,11,1874
26.21,2,Mexico,12,1874
23.332,2,Mexico,1,1875
23.837,2,Mexico,2,1875
24.51,2,Mexico,3,1875
23.995,2,Mexico,4,1875
25.958,2,Mexico,5,1875
27.21,2,Mexico,6,1875
27.409,2,Mexico,7,1875
27.293,2,Mexico,8,1875
25.94,2,Mexico,9,1875
26.221,2,Mexico,10,1875
26.493,2,Mexico,11,1875
25.938,2,Mexico,12,1875
25.711,2,Mexico,1,1876
24.416,2,Mexico,2,1876
24.23,2,Mexico,3,1876
24.433,2,Mexico,4,1876
25.654,2,Mexico,5,1876
27.148,2,Mexico,6,1876
27.266,2,Mexico,7,1876
27.266,2,Mexico,8,1876
26.688,2,Mexico,9,1876
26.551,2,Mexico,10,1876
25.492,2,Mexico,11,1876
23.604,2,Mexico,12,1876
24.188,2,Mexico,1,1877
23.712,2,Mexico,2,1877
23.63,2,Mexico,3,1877
24.256,2,Mexico,4,1877
26.094,2,Mexico,5,1877
27.1,2,Mexico,6,1877
27.752,2,Mexico,7,1877
28.145,2,Mexico,8,1877
27.465,2,Mexico,9,1877
27.916,2,Mexico,10,1877
26.389,2,Mexico,11,1877
25.598,2,Mexico,12,1877
25.023,2,Mexico,1,1878
24.587,2,Mexico,2,1878
24.658,2,Mexico,3,1878
25.878,2,Mexico,4,1878
27.238,2,Mexico,5,1878
28.515,2,Mexico,6,1878
27.997,2,Mexico,7,1878
27.255,2,Mexico,8,1878
26.984,2,Mexico,9,1878
27.031,2,Mexico,10,1878
26.864,2,Mexico,11,1878
25.395,2,Mexico,12,1878
25.23,2,Mexico,1,1879
23.667,2,Mexico,2,1879
23.518,2,Mexico,3,1879
24.489,2,Mexico,4,1879
26.121,2,Mexico,5,1879
26.658,2,Mexico,6,1879
27.48,2,Mexico,7,1879
26.999,2,Mexico,8,1879
26.261,2,Mexico,9,1879
26.13,2,Mexico,10,1879
25.982,2,Mexico,11,1879
25.846,2,Mexico,12,1879
24.405,2,Mexico,1,1880
24.106,2,Mexico,2,1880
24.542,2,Mexico,3,1880
24.302,2,Mexico,4,1880
26.585,2,Mexico,5,1880
27.021,2,Mexico,6,1880
27.314,2,Mexico,7,1880
27.038,2,Mexico,8,1880
26.512,2,Mexico,9,1880
